DataSize:								
Vehicles:	Requests:							
4	8							
Vehicles:								
ID	Loc_x	Loc_y	Readytime	Capacity	ReturnTime	Location	PublicVeh	
1	121.3861021	31.1118223	481	6	1440	station	1	
2	121.3861021	31.1118223	482	6	1440	station	1	
3	121.3861021	31.1118223	479	4	1440	station	1	
4	121.3861021	31.1118223	476	4	1440	station	1	
Customers and Depot Info:								
ID	Loc_x	Loc_y	PassNum	EarTime	LatTime	DDL_Arr	TUB	Coriders
0	121.3861021	31.1118223	0	0	720	720	720	12
1	121.4084644	31.1025282	1	483	503	520	16	4
2	121.3996957	31.1357289	1	492	512	529	17	3
3	121.414391	31.0901652	2	488	508	533	22	3
4	121.3804964	31.0949845	1	493	513	528	13	2
5	121.4138878	31.1336873	1	490	510	535	22	4
6	121.4030027	31.1035967	1	494	514	533	12	4
7	121.3861021	31.1118223	0	0	720	720	720	12
								
DisMat:								
0	3.265513	3.441306	4.651654	2.743202	4.430295	2.546714	0	2.662598
3.312778	0	3.884524	1.541423	4.250816	4.601365	1.271541	3.312778	1.4627
3.572413	3.900423	0	5.34194	6.117916	1.834988	3.861521	3.572413	3.019778
4.66029	1.544204	5.346378	0	4.239115	5.968132	2.733395	4.66029	2.924554
2.740067	4.276448	6.081781	4.235856	0	7.170362	3.957703	2.740067	4.186176
4.546613	4.742564	1.673398	5.95067	7.289815	0	4.703662	4.546613	3.604164
2.562813	1.271535	3.864617	2.713052	3.969414	4.581458	0	2.562813	1.491232
0	3.265513	3.441306	4.651654	2.743202	4.430295	2.546714	0	2.662598
2.66569	1.481604	3.001132	2.923121	4.177449	3.607857	1.491232	2.66569	0
