DataSize:												
Vehicles:	Requests:											
5	11											
Vehicles:												
ID	Loc_x	Loc_y	Readytime	Capacity	ReturnTime	Location	PublicVeh					
1	121.3861021	31.1118223	481	6	1440	station	1					
2	121.3861021	31.1118223	482	6	1440	station	1					
3	121.3861021	31.1118223	479	6	1440	station	1					
4	121.416741	31.0954526	476	4	596	station	0					
5	121.3751121	31.1097349	480	4	600	enRoute	0					
Customers and Depot Info:												
ID	Loc_x	Loc_y	PassNum	EarTime	LatTime	DDL_Arr	TUB	Coriders				
0	121.3861021	31.1118223	0	0	720	720	720	12				
1	121.4084644	31.1025282	1	483	503	520	16	4				
2	121.3996957	31.1357289	1	492	512	529	17	3				
3	121.414391	31.0901652	2	488	508	533	22	3				
4	121.3804964	31.0949845	1	493	513	528	13	2				
5	121.4138878	31.1336873	1	490	510	535	22	4				
6	121.4030027	31.1035967	1	494	514	533	12	4				
7	121.3703116	31.1298889	2	494	514	530	14	2				
8	121.3666518	31.1231111	1	485	505	524	14	3				
9	121.3758674	31.1204775	1	488	508	524	12	3				
10	121.3861021	31.1118223	0	0	720	720	720	12				
												
DisMat:												
0	3.265513	3.441306	4.651654	2.743202	4.430295	2.546714	2.983885	2.928789	3.984642	0	2.662598	1.23454
3.312778	0	3.884524	1.541423	4.250816	4.601365	1.271541	6.278947	5.825944	6.191533	3.312778	1.4627	3.827214
3.572413	3.900423	0	5.34194	6.117916	1.834988	3.861521	3.879084	4.086662	3.01806	3.572413	3.019778	4.508412
4.66029	1.544204	5.346378	0	4.239115	5.968132	2.733395	7.626459	7.273345	7.653387	4.66029	2.924554	5.02554
2.740067	4.276448	6.081781	4.235856	0	7.170362	3.957703	4.837016	3.956676	6.625117	2.740067	4.186176	1.667391
4.546613	4.742564	1.673398	5.95067	7.289815	0	4.703662	5.552482	5.76006	4.691458	4.546613	3.604164	5.781153
2.562813	1.271535	3.864617	2.713052	3.969414	4.581458	0	5.528982	5.17971	5.92798	2.562813	1.491232	3.069691
2.972356	6.114243	3.876511	7.500384	4.814092	5.686213	5.395444	0	1.190931	4.959804	2.972356	5.340888	3.204588
2.877213	5.667707	4.156833	7.053848	3.949563	5.899235	4.948908	1.190931	0	4.683478	2.877213	4.894352	2.340059
2.519797	5.661684	4.01024	7.047825	4.258362	5.752642	4.942885	1.223166	1.068602	0	2.519797	4.888329	2.648858
0	3.265513	3.441306	4.651654	2.743202	4.430295	2.546714	2.983885	2.928789	3.984642	0	2.662598	1.23454
2.66569	1.481604	3.001132	2.923121	4.177449	3.607857	1.491232	5.631859	4.942552	5.308141	2.66569	0	3.277726
1.298658	3.844032	4.41439	5.089798	1.672955	5.728953	3.125233	3.169625	2.289285	4.957726	1.298658	3.353706	0
